0 0 0 # rank = 0
0 0 0 # rank = 1
0 0 0 # rank = 2
0 0 0 # rank = 3


1 0 0 # rank = 4
1 0 0 # rank = 5
1 0 0 # rank = 6
1 0 0 # rank = 7


2 0 0 # rank = 8
2 0 0 # rank = 9
2 0 0 # rank = 10
2 0 0 # rank = 11


3 0 0 # rank = 12
3 0 0 # rank = 13
3 0 0 # rank = 14
3 0 0 # rank = 15


4 0 0 # rank = 16
4 0 0 # rank = 17
4 0 0 # rank = 18
4 0 0 # rank = 19



0 1 0 # rank = 20
0 1 0 # rank = 21
0 1 0 # rank = 22
0 1 0 # rank = 23


1 1 0 # rank = 24
1 1 0 # rank = 25
1 1 0 # rank = 26
1 1 0 # rank = 27


2 1 0 # rank = 28
2 1 0 # rank = 29
2 1 0 # rank = 30
2 1 0 # rank = 31


3 1 0 # rank = 32
3 1 0 # rank = 33
3 1 0 # rank = 34
3 1 0 # rank = 35


4 1 0 # rank = 36
4 1 0 # rank = 37
4 1 0 # rank = 38
4 1 0 # rank = 39



0 2 0 # rank = 40
0 2 0 # rank = 41
0 2 0 # rank = 42
0 2 0 # rank = 43


1 2 0 # rank = 44
1 2 0 # rank = 45
1 2 0 # rank = 46
1 2 0 # rank = 47


2 2 0 # rank = 48
2 2 0 # rank = 49
2 2 0 # rank = 50
2 2 0 # rank = 51


3 2 0 # rank = 52
3 2 0 # rank = 53
3 2 0 # rank = 54
3 2 0 # rank = 55


4 2 0 # rank = 56
4 2 0 # rank = 57
4 2 0 # rank = 58
4 2 0 # rank = 59



0 3 0 # rank = 60
0 3 0 # rank = 61
0 3 0 # rank = 62
0 3 0 # rank = 63


1 3 0 # rank = 64
1 3 0 # rank = 65
1 3 0 # rank = 66
1 3 0 # rank = 67


2 3 0 # rank = 68
2 3 0 # rank = 69
2 3 0 # rank = 70
2 3 0 # rank = 71


3 3 0 # rank = 72
3 3 0 # rank = 73
3 3 0 # rank = 74
3 3 0 # rank = 75


4 3 0 # rank = 76
4 3 0 # rank = 77
4 3 0 # rank = 78
4 3 0 # rank = 79



0 4 0 # rank = 80
0 4 0 # rank = 81
0 4 0 # rank = 82
0 4 0 # rank = 83


1 4 0 # rank = 84
1 4 0 # rank = 85
1 4 0 # rank = 86
1 4 0 # rank = 87


2 4 0 # rank = 88
2 4 0 # rank = 89
2 4 0 # rank = 90
2 4 0 # rank = 91


3 4 0 # rank = 92
3 4 0 # rank = 93
3 4 0 # rank = 94
3 4 0 # rank = 95


4 4 0 # rank = 96
4 4 0 # rank = 97
4 4 0 # rank = 98
4 4 0 # rank = 99



0 5 0 # rank = 100
0 5 0 # rank = 101
0 5 0 # rank = 102
0 5 0 # rank = 103


1 5 0 # rank = 104
1 5 0 # rank = 105
1 5 0 # rank = 106
1 5 0 # rank = 107


2 5 0 # rank = 108
2 5 0 # rank = 109
2 5 0 # rank = 110
2 5 0 # rank = 111


3 5 0 # rank = 112
3 5 0 # rank = 113
3 5 0 # rank = 114
3 5 0 # rank = 115


4 5 0 # rank = 116
4 5 0 # rank = 117
4 5 0 # rank = 118
4 5 0 # rank = 119



0 6 0 # rank = 120
0 6 0 # rank = 121
0 6 0 # rank = 122
0 6 0 # rank = 123


1 6 0 # rank = 124
1 6 0 # rank = 125
1 6 0 # rank = 126
1 6 0 # rank = 127


2 6 0 # rank = 128
2 6 0 # rank = 129
2 6 0 # rank = 130
2 6 0 # rank = 131


3 6 0 # rank = 132
3 6 0 # rank = 133
3 6 0 # rank = 134
3 6 0 # rank = 135


4 6 0 # rank = 136
4 6 0 # rank = 137
4 6 0 # rank = 138
4 6 0 # rank = 139



